FAMILY,SCIENTIFIC_NAME,SOURCE
AMARYLLIDACEAE,Allium cernuum,Fowler
AMARYLLIDACEAE,Allium geyeri,JA DB
AMARYLLIDACEAE,Allium geyeri var. geyeri,"JA DB, Fowler"
AMARYLLIDACEAE,Allium geyeri var. tenerum,JA DB
APIACEAE,Aletes humilis,"CO endemic, rare, obligate, JA DB, Fowler"
APIACEAE,Angelica grayi,"JA DB, Fowler"
APIACEAE,Bupleurum americanum,"rare, obligate alpine, JA DB, Fowler"
APIACEAE,Conioselinum scopulorum,"JA DB, Fowler"
APIACEAE,Cymopterus lemmonii,"JA DB, Fowler"
APIACEAE,Ligusticum porteri,JA DB
APIACEAE,Ligusticum porteri var. porteri,Fowler
APIACEAE,Ligusticum tenuifolium,"JA DB, Fowler"
APIACEAE,Oreoxis alpina,"JA DB, Fowler"
APIACEAE,Oreoxis bakeri,"obligate alpine, JA DB, Fowler"
APIACEAE,Osmorhiza depauperata,JA DB
APIACEAE,Oxypolis fendleri,"JA DB, Fowler"
APIACEAE,Podistera eastwoodiae,"JA DB, Fowler"
ASPARAGACEAE,Maianthemum racemosum ssp. amplexicaule,Fowler
ASPARAGACEAE,Maianthemum stellatum,JA DB
ASPLENIACEAE,Asplenium viride,"JA DB, Fowler"
ASPLENIACEAE,Athyrium americanum,"JA DB, Fowler"
ASPLENIACEAE,Cystopteris fragilis,"JA DB, Fowler"
ASPLENIACEAE,Cystopteris reevesiana,Fowler
ASPLENIACEAE,Woodsia oregana ssp. cathcartiana,Fowler
ASTERACEAE,Achillea millefolium,"JA DB, Fowler"
ASTERACEAE,Agoseris aurantiaca,"JA DB, Fowler"
ASTERACEAE,Agoseris aurantiaca var. aurantiaca,JA DB
ASTERACEAE,Agoseris glauca,JA DB
ASTERACEAE,Agoseris glauca var. dasycephala,"JA DB, Fowler"
ASTERACEAE,Agoseris glauca var. glauca,JA DB
ASTERACEAE,Agoseris parviflora,"JA DB, Fowler"
ASTERACEAE,Anaphalis margaritacea,JA DB
ASTERACEAE,Antennaria anaphaloides,"JA DB, Fowler"
ASTERACEAE,Antennaria corymbosa,Fowler
ASTERACEAE,Antennaria marginata,Fowler
ASTERACEAE,Antennaria media,"JA DB, Fowler"
ASTERACEAE,Antennaria microphylla,"JA DB, Fowler"
ASTERACEAE,Antennaria parvifolia,Fowler
ASTERACEAE,Antennaria rosea,"JA DB, Fowler"
ASTERACEAE,Antennaria umbrinella,"JA DB, Fowler"
ASTERACEAE,Arnica angustifolia ssp. tomentosa,Fowler
