family,verbatimScientificName
Asteraceae,Erigeron grandiflorus Hooker
Caryophyllaceae,Paronychia
Ranunculaceae,Ranunculaceae
Rosaceae,Rosaceae
Plantaginaceae,Penstemon
Fabaceae,Trifolium
Asteraceae,Erigeron
Saxifragaceae,Heuchera
Brassicaceae,Thlaspi
Orobanchaceae,Pedicularis
Polygonaceae,Polygonum
Gleicheniaceae,Gleichenia alpina
Pinaceae,Pinus aristata
Salicaceae,Salix nivalis var. saximontana
Orchidaceae,Platanthera hyperborea
Hydrophyllaceae,Phacelia sericea (Graham) A. Gray
Plantaginaceae,Penstemon whippleanus A. Gray
Asteraceae,Hymenoxys hoopesii (A. Gray) Bierner
Montiaceae,Claytonia megarhiza (A. Gray) Parry ex S. Watson
Plantaginaceae,Penstemon whippleanus A. Gray
Plantaginaceae,Penstemon whippleanus A. Gray
Caryophyllaceae,Silene acaulis (L.) Jacq.
Montiaceae,Claytonia megarhiza (A. Gray) Parry ex S. Watson
Asteraceae,Senecio atratus Greene
Caryophyllaceae,Silene acaulis (L.) Jacq.
Caryophyllaceae,Silene acaulis (L.) Jacq.
Primulaceae,Primula angustifolia Torr.
Plantaginaceae,Penstemon whippleanus A. Gray
Caryophyllaceae,Paronychia pulvinata A. Gray
Orobanchaceae,Castilleja occidentalis Torr.
Primulaceae,Primula angustifolia Torr.
Gentianaceae,Gentiana algida Pall.
Rosaceae,Geum rossii (R. Br.) Ser.
Plantaginaceae,Penstemon procerus Douglas ex Graham
Rosaceae,Geum triflorum Pursh
Primulaceae,Androsace septentrionalis L.
Hydrophyllaceae,Phacelia sericea (Graham) A. Gray
Caryophyllaceae,Silene acaulis (L.) Jacq.
Asteraceae,Senecio soldanella A. Gray
Hydrophyllaceae,Phacelia sericea (Graham) A. Gray
Primulaceae,Primula angustifolia Torr.
Gentianaceae,Swertia perennis L.
Asteraceae,Heterotheca villosa (Pursh) Shinners
Orobanchaceae,Pedicularis groenlandica Retz.
Gentianaceae,Swertia perennis L.
Rosaceae,Dasiphora fruticosa (L.) Rydb.
Hydrophyllaceae,Phacelia sericea (Graham) A. Gray
Plantaginaceae,Penstemon whippleanus A. Gray
Montiaceae,Claytonia megarhiza (A. Gray) Parry ex S. Watson
Orobanchaceae,Pedicularis groenlandica Retz.
Primulaceae,Primula angustifolia Torr.
Orobanchaceae,Pedicularis groenlandica Retz.
Gentianaceae,Gentiana parryi Engelm.
Gentianaceae,Swertia perennis L.
Polemoniaceae,Polemonium viscosum Nutt.
Asteraceae,Anaphalis margaritacea (L.) Benth.
Caryophyllaceae,Silene acaulis (L.) Jacq.
Asteraceae,Senecio soldanella A. Gray
Gentianaceae,Swertia perennis L.
Plantaginaceae,Penstemon whippleanus A. Gray
Asteraceae,Senecio atratus Greene
Polemoniaceae,Polemonium viscosum Nutt.
Crassulaceae,Crassulaceae
Liliaceae,Erythronium
Portulacaceae,Portulacaceae
Brassicaceae,Arabis
Poaceae,Phleum
Asteraceae,Erigeron lanatus
Melanthiaceae,Anticlea elegans
Asteraceae,Erigeron elatior
Hymenolomataceae,Hymenoloma crispulum
Meesiaceae,Paludella squarrosa
Meesiaceae,Paludella squarrosa
Amblystegiaceae,Campylium stellatum
Scorpidiaceae,Scorpidium scorpioides
Orobanchaceae,Pedicularis racemosa
Caryophyllaceae,Cherleria obtusiloba
Gentianaceae,Gentiana algida
Orobanchaceae,Castilleja rhexiifolia
Brassicaceae,Erysimum capitatum
Primulaceae,Primula angustifolia
Salicaceae,Salix nivalis
Asteraceae,Erigeron pinnatisectus
Poaceae,Phleum alpinum
Crassulaceae,Rhodiola rhodantha
