scientificName,sourceFile,powoName,GNVmatchType,GNVmatchedCanonicalFull,GNVisSynonym,GNVcurrentCanonicalFull,GNVdataSourceTitleShort
Allium cernuum,bgbase.csv,,,,,,
Allium geyeri,bgbase.csv,,,,,,
Allium geyeri var. geyeri,bgbase.csv,,,,,,
Allium geyeri var. tenerum,bgbase.csv,,,,,,
Aletes humilis,bgbase.csv,,,,,,
Angelica grayi,bgbase.csv,,,,,,
Bupleurum americanum,bgbase.csv,,,,,,
Conioselinum scopulorum,bgbase.csv,,,,,,
Cymopterus lemmonii,bgbase.csv,,,,,,
Ligusticum porteri,bgbase.csv,,,,,,
Ligusticum porteri var. porteri,bgbase.csv,,,,,,
Ligusticum tenuifolium,bgbase.csv,,,,,,
Oreoxis alpina,bgbase.csv,,,,,,
Oreoxis bakeri,bgbase.csv,,,,,,
Osmorhiza depauperata,bgbase.csv,,,,,,
Oxypolis fendleri,bgbase.csv,,,,,,
Podistera eastwoodiae,bgbase.csv,,,,,,
Maianthemum racemosum ssp. amplexicaule,bgbase.csv,,,,,,
Maianthemum stellatum,bgbase.csv,,,,,,
Asplenium viride,bgbase.csv,,,,,,
Athyrium americanum,bgbase.csv,,,,,,
Cystopteris fragilis,bgbase.csv,,,,,,
Cystopteris reevesiana,bgbase.csv,,,,,,
Woodsia oregana ssp. cathcartiana,bgbase.csv,,,,,,
Achillea millefolium,bgbase.csv,,,,,,
Agoseris aurantiaca,bgbase.csv,,,,,,
Agoseris aurantiaca var. aurantiaca,bgbase.csv,,,,,,
Agoseris glauca,bgbase.csv,,,,,,
Agoseris glauca var. dasycephala,bgbase.csv,,,,,,
Agoseris glauca var. glauca,bgbase.csv,,,,,,
Agoseris parviflora,bgbase.csv,,,,,,
Anaphalis margaritacea,bgbase.csv,,,,,,
Antennaria anaphaloides,bgbase.csv,,,,,,
Antennaria corymbosa,bgbase.csv,,,,,,
Antennaria marginata,bgbase.csv,,,,,,
Antennaria media,bgbase.csv,,,,,,
Antennaria microphylla,bgbase.csv,,,,,,
Antennaria parvifolia,bgbase.csv,,,,,,
Antennaria rosea,bgbase.csv,,,,,,
Antennaria umbrinella,bgbase.csv,,,,,,
